num|neg|neu|pos|com
481|0.0|0.718|0.282|0.6249
482|0.0|0.706|0.294|0.9546
483|0.009|0.695|0.297|0.9951
484|0.0|0.821|0.179|0.9349
485|0.083|0.855|0.062|-0.25
486|0.0|1.0|0.0|0.0
487|0.039|0.708|0.253|0.9751
488|0.045|0.668|0.287|0.9576
489|0.064|0.829|0.107|0.838
490|0.0|0.857|0.143|0.9696
491|0.054|0.766|0.18|0.9475
492|0.178|0.735|0.086|-0.817
493|0.033|0.949|0.018|-0.2732
494|0.012|0.628|0.36|0.9967
495|0.033|0.664|0.303|0.9922
496|0.103|0.75|0.147|0.6134
497|0.034|0.896|0.07|0.4767
498|0.038|0.815|0.146|0.9151
499|0.059|0.818|0.122|0.2331
500|0.038|0.807|0.156|0.9999
501|0.065|0.67|0.265|0.9601
502|0.0|0.71|0.29|0.9716
503|0.032|0.616|0.352|0.9935
504|0.0|0.662|0.338|0.9865
505|0.044|0.654|0.302|0.9965
506|0.026|0.527|0.447|0.9896
507|0.0|0.63|0.37|0.9839
508|0.075|0.748|0.178|0.4939
509|0.065|0.781|0.153|0.9999
510|0.024|0.953|0.023|-0.0258
511|0.143|0.735|0.122|-0.6983
512|0.111|0.652|0.236|0.6808
513|0.052|0.825|0.123|0.9016
514|0.098|0.728|0.174|0.9834
515|0.048|0.81|0.142|0.9715
516|0.183|0.726|0.091|-0.7269
517|0.026|0.801|0.174|0.9664
518|0.061|0.734|0.206|0.9571
519|0.099|0.746|0.154|0.9915
520|0.0|0.52|0.48|0.8988
521|0.109|0.647|0.244|0.877
522|0.0|0.813|0.187|0.3182
523|0.067|0.763|0.17|0.891
524|0.044|0.742|0.215|0.9399
525|0.111|0.839|0.05|-0.9247
526|0.112|0.763|0.125|0.515
527|0.073|0.813|0.114|0.8657
528|0.0|0.788|0.212|0.7959
529|0.016|0.824|0.159|0.9022
530|0.0|0.691|0.309|0.9538
531|0.064|0.791|0.145|0.9989
532|0.037|0.797|0.165|0.9941
533|0.091|0.657|0.252|0.9223
534|0.144|0.709|0.147|0.4959
535|0.023|0.801|0.176|0.8735
536|0.0|0.822|0.178|0.3811
537|0.069|0.793|0.139|0.997
538|0.054|0.762|0.183|0.9966
539|0.05|0.671|0.279|0.9921
540|0.1|0.8|0.1|0.4627
541|0.093|0.838|0.069|-0.703
542|0.082|0.67|0.248|0.992
543|0.018|0.84|0.142|0.9945
544|0.128|0.753|0.119|-0.8311
545|0.04|0.708|0.252|0.9975
546|0.026|0.815|0.159|0.9274
547|0.07|0.888|0.042|-0.2278
548|0.068|0.766|0.167|0.9938
549|0.024|0.843|0.132|0.973
550|0.0|1.0|0.0|0.0
551|0.12|0.752|0.127|-0.2942
552|0.0|0.847|0.153|0.9464
553|0.06|0.825|0.115|0.9922
554|0.06|0.813|0.127|0.9873
555|0.071|0.754|0.176|0.9994
556|0.08|0.73|0.19|0.9737
557|0.0|0.556|0.444|0.5859
558|0.094|0.775|0.132|0.9972
559|0.068|0.741|0.191|0.9854
560|0.0|0.548|0.452|0.9744
561|0.045|0.775|0.18|1.0
562|0.042|0.72|0.238|0.9995
563|0.031|0.761|0.208|0.9953
564|0.102|0.749|0.149|0.9833
565|0.035|0.799|0.166|0.999
566|0.091|0.779|0.13|0.9949
567|0.0|0.779|0.221|0.9743
568|0.064|0.805|0.131|0.9977
569|0.061|0.759|0.18|0.9985
570|0.052|0.861|0.087|0.5244
571|0.036|0.814|0.151|0.9933
572|0.094|0.802|0.104|0.9127
573|0.039|0.766|0.195|0.9974
574|0.092|0.769|0.138|0.9931
575|0.061|0.728|0.21|0.9485
576|0.028|0.791|0.182|0.9836
577|0.0|0.457|0.543|0.9607
578|0.067|0.829|0.105|0.8784
579|0.0|0.422|0.578|0.9136
580|0.081|0.753|0.166|0.9959
581|0.0|0.754|0.246|0.9577
582|0.11|0.75|0.14|0.4
583|0.048|0.952|0.0|-0.3182
584|0.066|0.789|0.146|0.9855
585|0.0|0.905|0.095|0.2617
586|0.038|0.659|0.303|0.9966
587|0.058|0.731|0.211|0.9946
588|0.093|0.686|0.221|0.9943
589|0.05|0.564|0.386|0.9678
590|0.013|0.776|0.211|0.9834
591|0.125|0.791|0.084|-0.9744
592|0.044|0.924|0.032|-0.6895
593|0.097|0.777|0.126|0.5187
594|0.042|0.778|0.18|0.999
595|0.018|0.853|0.129|0.8765
596|0.068|0.842|0.09|0.879
597|0.069|0.762|0.169|0.9936
598|0.018|0.868|0.114|0.9767
599|0.12|0.675|0.205|0.978
600|0.05|0.868|0.083|0.9814
601|0.06|0.853|0.087|-0.3241
602|0.078|0.874|0.048|-0.9447
603|0.116|0.577|0.307|0.9972
604|0.0|0.708|0.292|0.8591
605|0.099|0.718|0.183|0.6369
606|0.179|0.715|0.106|-0.9521
607|0.062|0.727|0.211|0.9914
