id,adresat,miejsce_wzmiankowane,osoba_prawdopodobnie_wzmiankowana,osoba_wzmiankowana
52,"['Fontana, Julian']","['16, rue Pigalle', 'Warszawa']",,"['Albrecht, Thomas', 'Alkan, Charles-Valentin', 'Barcińska, Izabella', 'Chopin, Justyna', 'Chopin, Mikołaj', 'Grzymała, Wojciech', 'Jędrzejewiczowa, Ludwika', 'Léo, Auguste', 'Matuszyński, Jan', 'Młokosiewicz, Anna', 'Nowakowski, Józef', 'Pleyel, Camille', 'Sand, George', 'Troupenas, Eugène-Théodore', 'Wessel, Christian Rudolf']"
89,"['Grzymała, Wojciech']",,,"['Dudevant, Solange', 'Rozières, Marie de', 'Sand, George']"
115,,,,
177,"['Franchomme, Auguste']","[""9, square d'Orléans""]",,"['Franchomme, Amélie', 'Stirling, Jane Wilhelmina']"
151,"['Rozières, Marie de']","['Gdańsk (7007660)', 'Hamburg (7005289)', 'Szczecin (7007809)', 'Toruń (7007831)']",,"['Beethoven, Ludwig van', 'Dudevant, Solange', 'Jędrzejewiczowa, Ludwika', 'Leroux, Pierre', 'Sand, George']"
152,"['Jędrzejewiczowa, Ludwika']","['Kraków', 'Wien (7003321)']",,"['Barcińska, Izabella', 'Chatiron, Hippolyte', 'Chopin, Justyna', 'Ciechomska, Ludwika Magdalena', 'Dudevant, Solange', 'Jędrzejewicz, Antoni Żelisław', 'Jędrzejewicz, Fryderyk Bolesław', 'Jędrzejewicz, Henryk', 'Jędrzejewicz, Józef Kalasanty', 'Maréchal, Lucie', 'Sand, Maurice', 'Skarbkowa, Pelagia', 'Villetard, Clotilde Elisabeth']"
156,"['Rozières, Marie de']",['Warszawa'],,"['Franchomme, Auguste', 'Jędrzejewicz, Henryk', 'Jędrzejewiczowa, Ludwika', 'Léo, Auguste']"
157,"['Rozières, Marie de']","[""9, square d'Orléans"", 'Paris (7008038)']",,"['Bach, Jan Sebastian', 'Chopin, Justyna', 'Dudevant, Solange', 'Jędrzejewiczowa, Ludwika', 'Perrichet']"
159,"['Chopin, Fryderyk Franciszek']",['Frankfurt am Main'],,"['Mendelssohn-Bartholdy, Cécile']"
160,"['Rozières, Marie de']",['Paris (7008038)'],,
168,"['Rozières, Marie de']",,,
189,"['Witwicki, Stefan']",['Nohant'],,"['Chopin, Fryderyk Franciszek', 'Dudevant, Solange', 'Mickiewicz, Adam', 'Sand, Maurice']"
190,"['Witwicki, Stefan']","['Polska', 'Wien']",,"['Chopin, Justyna', 'Delacroix, Eugène', 'Grzymała, Wojciech', 'Jędrzejewiczowa, Ludwika', 'Mickiewicz, Adam', 'Sand, George', 'Towiański, Adam', 'Zaleski, Józef Bohdan']"
