id,name
518,Nicolas Chopin to Fr. Chopin in Paris
519,Wojciech Żywny to Fr. Chopin in Paris
520,Edward Wolff to Józef Nowakowski in Warsaw
521,Nicolas Chopin to Kalasanty Jędrzejewicz in Warsaw
522,To Kalasanty Jędrzejewicz in Warsaw
523,Nicolas Chopin to Fr. Chopin in Dresden
524,Maria Wodzińska to Fr. Chopin in Paris
526,Antoni Wodziński to Teresa Wodzińska in Służew
525,Felix Mendelssohn-Bartholdy to Fanny Hensel
1374,Letter from Jane Wilhelmina Stirling to Ludwika Jędrzejewicz
527,Gen. Józef Bem to Fr. Chopin in Paris
528,Nicolas Chopin to Fr. Chopin in Paris
529,Izabela Barcińska to Fr. Chopin in Paris
530,Ludwika Jędrzejewicz to Fr. Chopin in Paris
533,Nicolas Chopin to Jan Matuszyński in Paris
1414,Letter–card from Fryderyk Chopin to Julian Fontana
562,To Julian Fontana in Paris
535,Marie d’Agoult to Fr. Chopin in Paris
567,Ernest Legouvé to Fr. Chopin in Paris
532,Nicolas Chopin to Fr. Chopin in Paris
534,Astolphe de Custine to Fr. Chopin in Paris
536,Teresa Wodzińska to Fr. Chopin in Paris
539,To Antoni Barciński in Warsaw
572,Astolphe de Custine to Fr. Chopin in Paris
537,Marie d’Agoult to Fr. Chopin in Paris
540,François Fétis to Fr. Chopin in Paris
541,To François Fétis in Brussels
543,Robert Schumann to Frederic Chopin in Paris
542,Felix Mendelssohn-Bartholdy to Fr. Chopin in Paris
548,Antoni Barciński to Fr. Chopin in Paris
547,Nicolas Chopin to Fr. Chopin in Paris
546,Ludwika Jędrzejewicz to Fr. Chopin in Paris
544,Nicolas Chopin to Fr. Chopin in Paris
549,Anna Liszt to Fr. Chopin in Paris
550,Ferdinand Hiller to Fr. Chopin in Paris
551,Astolphe de Custine to Fr. Chopin in Paris
552,Gen. Józef Bem to Fr. Chopin in Paris
553,Robert Schumann to Fr. Chopin in Dresden
554,Robert Schumann to Henryk Dorn in Riga
555,Teresa Wodzińska to Fr. Chopin in Paris
557,Kazimierz Wodziński to Fr. Chopin in Paris
558,Maria Wodzińska to Fr. Chopin in Paris
575,Astolphe de Custine to Fr. Chopin in Paris
560,Maria Wodzińska to Fr. Chopin in Paris
559,Teresa Wodzińska to Fr. Chopin in Paris
561,To Teresa Wodzińska in Służew
565,To Józef Brzowski in Paris
564,To Józef Brzowski in Paris
591,To Wojciech Grzymała in Paris
531,To Julian Fontana in Paris
573,Astolphe de Custine to Fr. Chopin in Paris
574,Astolphe de Custine to Fr. Chopin in Paris
589,Jacques Fromental Halévy to Fr. Chopin in Paris
566,Ernest Legouvé to Fr. Chopin in Paris
592,To Wojciech Grzymała in Paris
588,Jacques Fromental Halévy to Fr. Chopin in Paris
568,Teresa Wodzińska to Fr. Chopin in Paris
569,Maria Wodzińska to Fr. Chopin in Paris
570,Justyna Chopin to Fr. Chopin in Paris
581,Astolphe de Custine to Fr. Chopin in Paris
576,George Sand to Ferenc Liszt in Paris
577,To Teresa Wodzińska in Służew
578,George Sand to Marie d’Agoult in Paris
579,To Teresa Wodzińska in Służew
580,To Antoni Wodziński in Saragossa
583,To Teresa Wodzińska in Służew
582,Astolphe de Custine to Fr. Chopin in Paris
585,Letter from Fryderyk Chopin to Julian Fontana
586,To Wojciech Grzymała in Paris
587,To Teresa Wodzińska in Służew
593,To Auguste Franchomme in Paris
538,To Camille Pleyel in Paris
571,Maria Wodzińska to Fr. Chopin in Paris
590,Teresa Wodzińska to Fr. Chopin in Paris
596,Astolphe de Custine to Fr. Chopin in Paris
599,To an unknown recipient in Paris
595,To baron de Trémont in Paris
597,Astolphe de Custine to Fr. Chopin in Paris
598,Teresa Wodzińska to Fr. Chopin in Paris
601,George Sand to Eugène Delacroix in Paris
563,To Julian Fontana in Paris
600,George Sand to Fr. Chopin in Paris
602,George Sand to Wojciech Grzymała in Paris
604,To Wojciech Grzymała in Paris
605,To Wojciech Grzymała in Paris
584,Astolphe de Custine to Fr. Chopin in Paris
603,George Sand to Wojciech Grzymała in Paris
606,To Maurice Schlesinger in Paris
607,Félicien Mallefille do Fr. Chopin in Paris
608,Eugène Delacroix to J.B. Pierret in Paris
610,George Sand to Charlotte Marliani in Paris
611,Letter from Fryderyk Chopin to Julian Fontana
612,To Camille Pleyel in Paris
613,To Wojciech Grzymała in Paris
615,To Wojciech Grzymała in Paris
614,Letter from Fryderyk Chopin to Julian Fontana
616,To Julian Fontana in Paris
617,To Julian Fontana in Paris
653,To Charles Alkan in Paris
619,To Camille Pleyel in Paris
618,To Julian Fontana in Paris
620,To Julian Fontana in Paris
622,To Camille Pleyel in Paris
624,To Wojciech Grzymała in Paris
623,Letter from Fryderyk Chopin to Julian Fontana
626,Letter from Fryderyk Chopin to Julian Fontana
625,To Julian Fontana in Paris
627,To Wojciech Grzymała in Paris
628,To Ernest Canut in Palma de Mallorca
632,Hector Berlioz to Fr. Chopin in Marseille
629,To Wojciech Grzymała in Paris
630,To Wojciech Grzymała in Paris
621,To Julian Fontana in Paris
631,To Julian Fontana in Paris
633,To Wojciech Grzymała in Paris
634,Juliusz Słowacki to Konstanty Gaszyński in Paris
636,To Wojciech Grzymała in Paris
635,Letter from Fryderyk Chopin and George Sand to Wojciech Grzymała 
637,To Wojciech Grzymała in Paris
638,Letter from Fryderyk Chopin and George Sand to Wojciech Grzymała
639,To Julian Fontana in Paris
640,To Julian Fontana in Paris
641,To Wojciech Grzymała in Paris
642,To Julian Fontana in Paris
643,To Julian Fontana in Paris
644,To Wojciech Grzymała in Paris
645,Letter from Fryderyk Chopin to Julian Fontana
662,To Julian Fontana in Bordeaux
652,Eugène Delacroix to Fr. Chopin in Paris
646,To Julian Fontana in Paris
647,To Julian Fontana in Paris
648,To Julian Fontana in Paris
649,To Julian Fontana in Paris
651,To Wojciech Grzymała in Paris
650,To Julian Fontana in Paris
660,To Breitkopf & Härtel company in Leipzig
655,Astolphe de Custine to Fr. Chopin in Paris
658,Astolphe de Custine to Fr. Chopin in Paris
654,Astolphe de Custine to Fr. Chopin in Paris
656,To the Grand Duke of Baden in Heidelberg
657,To Maurice Schlesinger in Paris
659,To Maurice Schlesinger in Paris
661,Astolphe de Custine to Fr. Chopin in Paris
12,Stefan Witwicki to Fr. Chopin in Paris
1,Józef Elsner to Fr. Chopin in Paris
2,Stefan Witwicki to Fr. Chopin in Paris
3,Letter from Stefan Witwicki to Fryderyk Chopin
4,To Julian Fontana in Bordeaux
1343,Letter from Gaetano Donizetti to Fryderyk Chopin
5,To Ludwik Plater in Paris
6,To Konstanty Gaszyński in Aix
7,To Breitkopf & Härtel company in Leipzig
10,Hector Berlioz to Fr. Chopin in Paris
8,Maurice Schlesinger to Fr. Chopin in Paris
9,To Józef Elsner in Warsaw
11,George Sand to Fr. Chopin in Paris
26,To Seweryn Goszczyński in Paris
27,George Sand to Marie de Rozières in Paris
13,Eugène Delacroix to Fr. Chopin in Paris
17,To Auguste Léo in Paris
18,To Auguste Franchomme in Paris
60,Charles Alkan to Fr. Chopin in Paris
19,To Auguste Franchomme in Paris
14,Publisher Sina to Fr. Chopin in Paris
947,George Sand to Maria de Rozières
16,Ludwika Jędrzejewicz to Fr. Chopin in Paris
15,Nicolas Chopin to Fr. Chopin in Paris
24,Letter from Fryderyk Chopin to Adolf Gutmann 
21,Heinrich Heine to Fr. Chopin in Paris
22,Eugène Delacroix to George Sand in Paris
23,Stefan Witwicki to Fr. Chopin in Paris
25,To Breitkopf & Härtel company in Leipzig
28,To Antoni Schindler in Aachen
29,To Julian Fontana in Paris
31,To Julian Fontana in Paris
32,To Julian Fontana in Paris
33,Letter from Fryderyk Chopin to Julian Fontana
34,To Julian Fontana in Paris
36,To Julian Fontana in Paris
35,To Schuberth & Co. company in Hamburg
37,Katharina Diller de Pereira to Fr. Chopin in Paris
38,Letter from Fryderyk Chopin to Julian Fontana
39,To Julian Fontana in Paris
40,To Julian Fontana in Paris
41,To Julian Fontana in Paris
42,To Pietro Mechetti in Vienna
43,To Julian Fontana in Paris
44,Letter from Fryderyk Chopin to Julian Fontana
45,To Julian Fontana in Paris
1366,Letter from Fryderyk Chopin to Julian Fontana
46,To Julian Fontana in Paris
47,To Julian Fontana in Paris
48,To George Sand in Nohant
49,To Julian Fontana in Paris
50,To Maurice Schlesinger in Paris
51,To Julian Fontana in Paris
52,Letter from Fryderyk Chopin to Julian Fontana
53,To Julian Fontana in Paris
54,To Julian Fontana in Paris
55,To Julian Fontana in Paris
56,To Julian Fontana in Paris
57,To Julian Fontana in Paris
58,To Julian Fontana in Paris
59,To Breitkopf & Härtel company in Leipzig
65,To Józefa Turowska in Paris
64,To Stefan Witwicki in Paris
61,To Breitkopf & Härtel company in Leipzig
63,Ludwika Jędrzejewicz to Fr. Chopin in Paris
62,Nicolas Chopin to Fr. Chopin in Paris
94,Izabela Barcińska to Fr. Chopin in Paris
73,Ernest Legouvé to Fr. Chopin in Paris
102,To Adolf Cichowski in Paris
99,To Camille Pleyel in Paris
84,To Camille Pleyel in Paris
74,To Charles Alkan in Paris
72,To Wojciech Grzymała in Paris
80,Józef Damse to Fr. Chopin in Paris
71,To Wojciech Grzymała in Paris
69,Ludwika Jędrzejewicz to Fr. Chopin in Paris
66,Ernest Legouvé to Fr. Chopin in Paris
67,Justyna Chopin to Fr. Chopin in Paris
75,To Wojciech Grzymała in Paris
68,Nicolas Chopin to Fr. Chopin in Paris
70,Stefan Witwicki to Fr. Chopin in Paris
76,George Sand to Marie de Rozières in Paris
714,Alexandre Joseph Artôt to Fr. Chopin in Paris
77,To Wojciech Grzymała in Paris
78,Eugène Delacroix to George Sand in Nohant
85,Adam Mickiewicz to Fr. Chopin in Paris
79,Józef Elsner to Fr. Chopin in Paris
81,Eugène Delacroix to J.B. Pierret in Paris
83,Eugène Delacroix to George Sand in Nohant
82,Eugène Delacroix to J.B. Pierret in Paris
86,To Mrs. Franchomme in Paris
87,Eugène Delacroix to George Sand in Nohant
88,To Camille Pleyel in Paris
89,Letter from Fryderyk Chopin to Wojciech Grzymała
90,Eugène Delacroix to Gustave Planche in Naples
100,Stefan Witwicki to Fr. Chopin in Paris
169,To Wojciech Grzymała in Paris
91,Nicolas Chopin to Fr. Chopin in Paris
92,Ludwika Jędrzejewicz to Fr. Chopin in Paris
95,Stefan Witwicki to Fr. Chopin in Paris
96,To Józef Elsner in Warsaw
98,Friedrich Kalkbrenner to Fr. Chopin in Paris
97,To Tomasz Nidecki in Warsaw
715,To Anne Caroline de Belleville-Oury in London
101,To Breitkopf & Härtel company in Leipzig
125,To Stefan Witwicki in Paris
105,To doctor Molin in Paris
119,To an unknown female recipient
126,To an unknown recipient in Paris
103,To Tomasz Nidecki in Warsaw
104,Ferenc Liszt to Fr. Chopin in Paris
106,Solange Dudevant to Maurice Dudevant in Nohant
108,To Zofia Rozengart in Paris
110,To Wojciech Grzymała in Paris
109,To Maurice Schlesinger in Paris
111,To George Sand in Nohant
112,Eugène Delacroix to George Sand in Nohant
121,Solange Dudevant to Maurice Dudevant in Paris
